Example name;Example content;MSO;Generated MSO
example_10;"title = 'Example 10'
x = ['a', 'b', 'c']
f = ['A1']
z = ['a', 'b', 'c']
r = ['A1: a & b = c']
o = [[1, 1, 1],
     [1, 1, 0]]";A1;A1
example_11;"title = 'Example 11 inverted polybox'
x = ['a', 'b', 'c', 'd', 'e', 'x01', 'x02']
f = ['A1', 'A2', 'O1']
z = ['a', 'b', 'c', 'd', 'e']
r = ['A1: a & b = x01',
     'A2: c & d = x02',
     'O1: x01 | x02 = e']
o = [[1, 1, 1, 1, 1],
     [1, 1, 1, 1, 0]]";A1, A2, O1;A1, A2, O1
example_12;"title = 'Example 12 classic polybox'
x = ['a', 'b', 'c', 'd', 'e', 'f', 'g', 'x01', 'x02', 'x03']
f = ['O1', 'O2', 'O3', 'A1', 'A2']
z = ['a', 'b', 'c', 'd', 'e', 'f', 'g']
r = ['O1: a | c = x01',
     'O2: b | d = x02',
     'O3: c | e = x03',
     'A1: x01 & x02 = f',
     'A2: x02 & x03 = g']
o = [[1, 1, 1, 1, 1, 1, 1],
     [1, 1, 1, 1, 1, 0, 1],
     [1, 1, 1, 1, 1, 1, 0],
     [1, 1, 1, 1, 1, 0, 0]]";"A1, O1, O2
A2, O2, O3
A1, A2, O1, O3";"O1, O2, A1
O2, O3, A2
O1, O3, A1, A2"
example_13;"title = 'Example 13 only A'
x = ['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h', 'x01', 'x02', 'x03', 'x04', 'x05']
f = ['A1', 'A2', 'A3', 'A4', 'A5', 'A6', 'A7']
z = ['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h']
r = ['A1: a & b = x01',
     'A2: b & c = x02',
     'A3: c & d = x03',
     'A4: d & e = x04',
     'A5: x01 & x02 = x05',
     'A6: x03 & x04 = g',
     'A7: x05 & f = h']
o = [[1, 1, 1, 1, 1, 1, 1, 1],
     [1, 1, 1, 1, 1, 1, 0, 1],
     [1, 1, 1, 1, 1, 1, 1, 0],
     [1, 1, 1, 1, 1, 1, 0, 0]]";"A3, A4, A6
A1, A2, A5, A7";"A3, A4, A6
A1, A2, A5, A7"
example_14;"title = 'Example 14 only O'
x = ['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h', 'x01', 'x02', 'x03', 'x04', 'x05']
f = ['O1', 'O2', 'O3', 'O4', 'O5', 'O6', 'O7']
z = ['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h']
r = ['O1: a | b = x01',
     'O2: b | c = x02',
     'O3: c | d = x03',
     'O4: d | e = x04',
     'O5: x01 | x02 = x05',
     'O6: x03 | x04 = g',
     'O7: x05 | f = h']
o = [[1, 1, 1, 1, 1, 1, 1, 1],
     [1, 1, 1, 1, 1, 1, 0, 1],
     [1, 1, 1, 1, 1, 1, 1, 0],
     [1, 1, 1, 1, 1, 1, 0, 0]]";"O3, O4, O6
O1, O2, O5, O7";"O3, O4, O6
O1, O2, O5, O7"
example_15;"title = 'Example 15 mixed A and O'
x = ['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h', 'x01', 'x02', 'x03', 'x04', 'x05']
f = ['A1', 'O1', 'O2', 'A2', 'A3', 'A4', 'O3']
z = ['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h']
r = ['A1: a & b = x01',
     'O1: b | c = x02',
     'O2: c | d = x03',
     'A2: d & e = x04',
     'A3: x01 & x02 = x05',
     'A4: x03 & x04 = g',
     'O3: x05 | f = h']
o = [[1, 1, 1, 1, 1, 1, 1, 1],
     [1, 1, 1, 1, 1, 1, 0, 1],
     [1, 1, 1, 1, 1, 1, 1, 0],
     [1, 1, 1, 1, 1, 1, 0, 0]]";"A2, A4, O2
A1, A3, O1, O3";"O2, A2, A4
A1, O1, A3, O3"
example_16;"title = 'Example 16'
x = ['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h', 'i', 'j', 'k', 'x01', 'x02', 'x03', 'x04', 'x05', 'x06']
f = ['A1', 'A2', 'A3', 'A4', 'O1', 'O2', 'O3', 'O4']
z = ['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h', 'i', 'j', 'k']
r = ['A1: a & b = x01',
     'A2: d & e = x02',
     'A3: g & h = x03',
     'O1: c | x01 = x04',
     'O2: f | x02 = x05',
     'O3: i | x03 = x06',
     'A4: x04 & x05 = j',
     'O4: x05 | x06 = k']
o = [[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1],
     [1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1],
     [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0],
     [1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]]";"A1, A2, A4, O1, O2
A2, A3, O2, O3, O4
A1, A3, A4, O1, O3, O4";"A1, A2, O1, O2, A4
A2, A3, O2, O3, O4"
example_17;"title = 'Example 17'
x = ['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h', 'i', 'x01', 'x02', 'x03', 'x04']
f = ['A1', 'O1', 'O2', 'A2', 'O3', 'O4']
z = ['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h', 'i']
r = ['A1: a & b = x02',
     'O1: c | d = x01',
     'O2: e | x01 = x03',
     'A2: x02 & x03 = x04',
     'O3: f | x04 = h',
     'O4: x04 | g = i']
o = [[1, 1, 1, 1, 1, 1, 1, 1, 1],
     [1, 1, 1, 1, 1, 1, 1, 0, 1],
     [1, 1, 1, 1, 1, 1, 1, 1, 0],
     [1, 1, 1, 1, 1, 1, 1, 0, 0]]";"O3, O4
A1, A2, O1, O2, O3
A1, A2, O1, O2, O4";"O3, O4
A1, O1, O2, A2, O3
A1, O1, O2, A2, O4"
example_18;"title = 'Example 18'
x = ['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h', 'i', 'j', 'x01', 'x02', 'x03', 'x04', 'x05', 'x06', 'x07', 'x08']
f = ['A1', 'O1', 'A2', 'O2', 'O3', 'A3', 'A4', 'O4', 'O5', 'A5', 'A6']
z = ['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h', 'i', 'j']
r = ['A1: a & b = x01',
     'O1: b | c = x02',
     'A2: c & d = x03',
     'O2: d | e = x04',
     'O3: b | x02 = x05',
     'A3: d & x04 = x06',
     'A4: x01 & x05 = x07',
     'O4: x03 | x06 = x08',
     'O5: f | x07 = h',
     'A5: x07 & x08 = i',
     'A6: g & x08 = j']
o = [[1, 1, 1, 1, 1, 1, 1, 1, 1, 1],
     [1, 1, 1, 1, 1, 1, 1, 0, 1, 1],
     [1, 1, 1, 1, 1, 1, 1, 0, 0, 1],
     [1, 1, 1, 1, 1, 1, 1, 0, 1, 0],
     [1, 1, 1, 1, 1, 1, 1, 1, 0, 0],
     [1, 1, 1, 1, 1, 1, 1, 1, 0, 1],
     [1, 1, 1, 1, 1, 1, 1, 1, 1, 0],
     [1, 1, 1, 1, 1, 1, 1, 0, 0, 0]]";"A5, A6, O5
A1, A4, O1, O3, O5
A2, A3, A6, O2, O4
A1, A4, A5, A6, O1, O3
A2, A3, A5, O2, O4, O5
A1, A2, A3, A4, A5, O1, O2, O3, O4";"O5, A5, A6
A1, O1, O3, A4, O5
A2, O2, A3, O4, A6"
example_19;"title = 'Example 19 nine O and six A'
x = ['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h', 'i', 'j', 'k', 'm', 'n', 'o', 'p', 'q', 'r', 'x01', 'x02', 'x03', 'x04', 'x05', 'x06', 'x07', 'x08', 'x09', 'x10', 'x11', 'x12']
f = ['O1', 'O2', 'O3', 'O4', 'O5', 'O6', 'O7', 'O8', 'O9', 'A1', 'A2', 'A3', 'A4', 'A5', 'A6']
z = ['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h', 'i', 'j', 'k', 'm', 'n', 'o', 'p', 'q', 'r']
r = ['O1: a | c = x01',
     'O2: b | d = x02',
     'O3: c | e = x03',
     'O4: f | h = x04',
     'O5: g | i = x05',
     'O6: h | j = x06',
     'O7: k | m = x07',
     'A1: x01 & x02 = x08',
     'A2: x02 & x03 = x09',
     'A3: x04 & x05 = x10',
     'A4: x05 & x06 = x11',
     'O8: n | o = x12',
     'A5: x07 & x08 = p',
     'O9: x09 | x10 = q',
     'A6: x11 & x12 = r']
o = [[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1],
     [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1],
     [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1],
     [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0],
     [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0],
     [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1],
     [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0],
     [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]]";"A1, A5, O1, O2, O7
A4, A6, O5, O6, O8
A2, A3, O2, O3, O4, O5, O9
A1, A2, A3, A5, O1, O3, O4, O5, O7, O9
A2, A3, A4, A6, O2, O3, O4, O6, O8, O9
A1, A2, A3, A4, A5, A6, O1, O3, O4, O6, O7, O8, O9";"O1, O2, O7, A1, A5
O5, O6, A4, O8, A6
O2, O3, O4, O5, A2, A3, O9"
